file,old_tag,new_tags
obsidian-general-to-import/256283035016994066.md,baby-quilt,quilting
obsidian-general-to-import/256283035016994066.md,quilting-ideas,quilting
obsidian-general-to-import/256283035016994177.md,kimono-quilt,japanese-textiles|kimono|quilting
obsidian-general-to-import/256283035016994177.md,room-with-color,interiors|colour
obsidian-general-to-import/256283035016994177.md,quilt-cushion,quilting|interiors
obsidian-general-to-import/256283035016994177.md,style-scarves,clothing-costume
obsidian-general-to-import/256283035016994177.md,bohemian-style-interior,interiors
obsidian-general-to-import/256283035016994177.md,color-burst,colour
obsidian-general-to-import/256283035016994177.md,vintage-scarves,clothing-costume|vintage
obsidian-general-to-import/256283035016994179.md,bed-spreads,interiors
obsidian-general-to-import/256283035016994179.md,Needlework,lace-needlework|embroidery
obsidian-general-to-import/256283035016994179.md,Logos,design|graphic-design
obsidian-general-to-import/256283035016994180.md,room-with-color,interiors|colour
obsidian-general-to-import/256283035016994180.md,scarf-ideas,clothing-costume
obsidian-general-to-import/256283035016994180.md,vintage-scarves,clothing-costume|vintage
obsidian-general-to-import/256283035016994180.md,silk-quilt,silk|quilting
obsidian-general-to-import/256283035016994180.md,architecture-bathroom,interiors
obsidian-general-to-import/256283035016994180.md,upcycling-ideas,visible-mending
obsidian-general-to-import/256283035016994180.md,quilted-bedspreads,quilting|interiors
obsidian-general-to-import/256283035016994180.md,sewing-diy,sewing
obsidian-general-to-import/256283035016994184.md,planet-quilt,quilting
obsidian-general-to-import/256283035016994184.md,tie-dye-embroidery,embroidery|printing-dyeing
obsidian-general-to-import/256283035016994184.md,space-quilt,quilting
obsidian-general-to-import/256283035016994184.md,moon-quilt,quilting
obsidian-general-to-import/256283035016994185.md,patchwork-quilts,quilting
obsidian-general-to-import/256283035016994185.md,photo-and-video,photography
obsidian-general-to-import/256283035016994185.md,Patchwork,quilting
obsidian-general-to-import/256283035016994191.md,night-sky-quilt,quilting
obsidian-general-to-import/256283035016994191.md,tie-dye-embroidery,embroidery|printing-dyeing
obsidian-general-to-import/256283035016994191.md,award-winning-quilts,quilting
obsidian-general-to-import/256283035016994191.md,portrait-quilts,quilting
obsidian-general-to-import/256283035016994191.md,weaving-basket,weaving
obsidian-general-to-import/256283035016994191.md,space-quilt,quilting
obsidian-general-to-import/256283035016994191.md,quilt-templates,quilting
obsidian-general-to-import/256283035016996160.md,graphisches-design,design|graphic-design
obsidian-general-to-import/256283035016996160.md,cool-typography,typography-lettering
obsidian-general-to-import/256283035016996160.md,types-of-lettering,typography-lettering
obsidian-general-to-import/256283035016996160.md,typography-letters,typography-lettering
obsidian-general-to-import/256283035016996160.md,typography-inspiration,typography-lettering
obsidian-general-to-import/256283035016996160.md,design-graphique,design|graphic-design
obsidian-general-to-import/256283035017064736.md,embroidery-workshop,embroidery|art-education
obsidian-general-to-import/256283035017064736.md,instructions-booklet,book-arts
obsidian-general-to-import/256283035017064736.md,embroidery-kits,embroidery
obsidian-general-to-import/256283035017064736.md,fiber-arts,textile-art
obsidian-general-to-import/256283035017064736.md,fiber-art,textile-art
obsidian-general-to-import/256283035017064736.md,Embroidery,embroidery
obsidian-general-to-import/256283035017064736.md,fibre-art,textile-art
obsidian-general-to-import/256283035017064739.md,freehand-machine-embroidery,embroidery
obsidian-general-to-import/256283035017064739.md,textiles-embroidery,textile-art|embroidery
obsidian-general-to-import/256283035017064739.md,embroidery-workshop,embroidery|art-education
obsidian-general-to-import/256283035017064739.md,leather-embroidery,embroidery
obsidian-general-to-import/256283035017064739.md,tambour-embroidery,embroidery
obsidian-general-to-import/256283035017064739.md,well-decor,interiors
obsidian-general-to-import/256283035017064739.md,fabric-yarn,fabric|knitting-crochet
obsidian-general-to-import/256283035017064741.md,embroidery-workshop,embroidery|art-education
obsidian-general-to-import/256283035017064741.md,letters-of-the-alphabet,typography-lettering
obsidian-general-to-import/256283035017064741.md,instructions-booklet,book-arts
obsidian-general-to-import/256283035017064741.md,illuminated-letters,typography-lettering
obsidian-general-to-import/256283035017064741.md,well-decor,interiors
obsidian-general-to-import/256283035017064741.md,new-website,digital-art|product-management
obsidian-general-to-import/256283035017064741.md,the-alphabet,typography-lettering
obsidian-general-to-import/256283035017073330.md,soft-toys-making,soft-toys-dolls
obsidian-general-to-import/256283035017073330.md,fabric-toys,soft-toys-dolls|fabric
obsidian-general-to-import/256283035017073330.md,knitted-animals,soft-toys-dolls|knitting-crochet
obsidian-general-to-import/256283035017073330.md,a-teddy-bear,soft-toys-dolls
obsidian-general-to-import/256283035017073330.md,sewing-toys,sewing|soft-toys-dolls
obsidian-general-to-import/256283035017073330.md,soft-toys,soft-toys-dolls
obsidian-general-to-import/256283035017073330.md,diy-toys,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,sock-dolls,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,sock-toys,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,toy-design,soft-toys-dolls|design
obsidian-general-to-import/256283035017073354.md,sock-animals,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,cuddly-toy,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,rag-dolls,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,designer-toys,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,toys-dolls,soft-toys-dolls
obsidian-general-to-import/256283035017073354.md,handmade-dolls,soft-toys-dolls
obsidian-general-to-import/256283035017073364.md,stuffed-animals-from-old-sweaters,soft-toys-dolls|visible-mending
obsidian-general-to-import/256283035017073364.md,repurposed-sweaters,visible-mending
obsidian-general-to-import/256283035017073364.md,sweater-crafts,craft|visible-mending
obsidian-general-to-import/256283035017073364.md,recycled-sweaters,visible-mending
obsidian-general-to-import/256283035017073364.md,recycled-sweater,visible-mending
obsidian-general-to-import/256283035017073364.md,old-sweater,visible-mending
obsidian-general-to-import/256283035017073364.md,upcycle-sweater,visible-mending
obsidian-general-to-import/256283035017073414.md,bears-pictures,soft-toys-dolls
obsidian-general-to-import/256283035017073414.md,stuffed-animal-ideas,soft-toys-dolls
obsidian-general-to-import/256283035017073414.md,sewn-toys,soft-toys-dolls|sewing
obsidian-general-to-import/256283035017073414.md,forest-field,nature-botanical
obsidian-general-to-import/256283035017073414.md,bear-totem,soft-toys-dolls
obsidian-general-to-import/256283035017073414.md,crib-mobiles,soft-toys-dolls
obsidian-general-to-import/256283035017073414.md,knit-embroidery,knitting-crochet|embroidery
obsidian-general-to-import/256283035017073429.md,nordic-design,weaving|folk-global-art
obsidian-general-to-import/256283035017073430.md,denim-placemats,visible-mending
obsidian-general-to-import/256283035017073430.md,återvinna-jeans,visible-mending
obsidian-general-to-import/256283035017073430.md,denim-basket,visible-mending
obsidian-general-to-import/256283035017073430.md,artisanats-denim,visible-mending|fabric
obsidian-general-to-import/256283035017073430.md,denim-pillow,visible-mending|interiors
obsidian-general-to-import/256283035017073430.md,denim-projects,visible-mending
obsidian-general-to-import/256283035017073430.md,recycled-jeans,visible-mending
obsidian-general-to-import/256283035017073430.md,denim-crafts,visible-mending|craft
obsidian-general-to-import/256283035017073478.md,skeleton-animals,nature-botanical
obsidian-general-to-import/256283035017073478.md,cloth-animals,soft-toys-dolls|textile-art
obsidian-general-to-import/256283035017073478.md,alpaca-fleece,wool|knitting-crochet
obsidian-general-to-import/256283035017073478.md,ann-wood,artists-makers|ann-wood
obsidian-general-to-import/256283035017073478.md,softie-pattern,soft-toys-dolls
obsidian-general-to-import/256283035017073478.md,handmade-plushies,soft-toys-dolls
obsidian-general-to-import/256283035017073478.md,handmade-stuffed-animals,soft-toys-dolls
obsidian-general-to-import/256283035017073478.md,fruit-flowers,nature-botanical
obsidian-general-to-import/256283035017087534.md,red-cross-stitch,cross-stitch|embroidery
obsidian-general-to-import/256283035017087534.md,needlework-embroidery,embroidery|lace-needlework
obsidian-general-to-import/256283035017087534.md,cross-stitch-flowers,cross-stitch|embroidery
obsidian-general-to-import/256283035017087534.md,needle-art,embroidery
obsidian-general-to-import/256283035017087534.md,embroidery-cross-stitch,embroidery|cross-stitch
obsidian-general-to-import/256283035017087534.md,embroidery-inspiration,embroidery
obsidian-general-to-import/256283035017087534.md,embroidery-techniques,embroidery
obsidian-general-to-import/256283035017087534.md,embroidery-cross,embroidery|cross-stitch
